Mean_Train,STD_Train,Finish Train,Train Steps,Train Steps STD,Mean_Test,STD_Test,Finish Test,Test Steps,Test Steps STD
-6188.4375,6847.906884694833,1.0,1156.8705357142858,1153.4591129308762,-5974.821428571428,7662.238439038795,1.0,1120.4642857142858,1288.2716545307308
-6541.379464285715,8431.379379168699,0.9955357142857143,1215.4598214285713,1413.1377473652522,-6440.892857142857,6801.657050408934,1.0,1198.125,1148.4872358035032
-6808.955357142857,7316.966165905581,1.0,1262.0044642857142,1231.2171551013187,-7649.892857142857,8912.826174513439,1.0,1403.4642857142858,1496.2158095423565
-5841.723214285715,6414.661963187234,1.0,1098.611607142857,1082.1367940862533,-3846.75,4348.190100695428,1.0,762.6607142857143,738.3349335978344
-6112.473214285715,7626.340677757,1.0,1144.0089285714287,1281.6676392186394,-6307.071428571428,6970.455303475886,1.0,1176.232142857143,1175.35552358594
-7060.446428571428,8028.006395959004,1.0,1304.1160714285713,1348.4489121469453,-6473.25,6704.920954711441,1.0,1206.142857142857,1129.299679140184
-7270.982142857143,7221.860291580674,1.0,1339.861607142857,1215.7890895676367,-7501.071428571428,8268.08343627371,1.0,1376.357142857143,1390.2169335930919
-7398.294642857143,8226.191829779344,1.0,1360.857142857143,1382.326916039083,-7450.071428571428,8658.718199135528,1.0,1369.5892857142858,1454.206285435285
-6926.129464285715,8095.793178747864,0.9955357142857143,1280.7857142857142,1357.7639241504726,-5677.392857142857,5912.451321692007,1.0,1073.732142857143,995.0781285024707
-5537.169642857143,5800.408783914028,1.0,1048.15625,979.151973491899,-4676.142857142857,5962.54330750541,1.0,901.3035714285714,1006.1291971788793
-6249.267857142857,6522.446144964851,1.0,1167.3705357142858,1099.2047251908334,-10869.642857142857,11032.032315729779,1.0,1941.4285714285713,1850.9998056759066
-6534.616071428572,8131.226353589791,1.0,1213.5267857142858,1367.3409411271664,-8015.678571428572,8513.94041957731,1.0,1462.892857142857,1431.834396332344
-6303.830357142857,7413.9847156625865,1.0,1175.642857142857,1247.7973010837284,-6374.357142857143,7137.344495250145,1.0,1189.0535714285713,1200.3289790071667
-6939.080357142857,7892.012490756526,1.0,1283.2455357142858,1326.7744881443812,-8155.607142857143,9417.360093538822,1.0,1486.875,1581.1845024549068
